11:54:17   17/05/2018 200000VND  788450VND   0         plus    00000000000001  PHAN THI TRINH  350365
11:56:34   17/05/2018 200000VND  400000VND   0         plus    00000000000002  HO VAN QUYEN    350368
11:57:41   17/05/2018 100000VND  298350VND   1650      with    Not Applicable  N/A             350370
12:07:54   17/05/2018 0VND       298350VND   0         lock    Not Applicable  N/A             350377
12:09:37   17/05/2018 0VND       298350VND   0         lock    Not Applicable  N/A             350378
12:13:29   17/05/2018 200000VND  498350VND   0         plus    00000000000002  HO VAN QUYEN    350383
12:13:54   17/05/2018 200000VND  287350VND   11000     send    00000000000002  HO VAN QUYEN    350384
12:15:32   17/05/2018 200000VND   75800VND   11550     add     Not Applicable  N/A             350388
18:53:04   22/05/2018 200000VND  275800VND   0         plus    00000000000002  HO VAN QUYEN   350401
19:08:41   22/05/2018 0VND       275800VND   0         lock    Not Applicable  N/A              350403
19:10:47   22/05/2018 0VND       275800VND   0         lock    Not Applicable  N/A              350405
19:12:43   22/05/2018 200000VND   74150VND   1650      with    Not Applicable  N/A              350407
19:20:32   22/05/2018 200000VND  274150VND   0         plus    00000000000002  HO VAN QUYEN   350418
20:03:49   22/05/2018 200000VND  474150VND   0         plus    00000000000002  HO VAN QUYEN   350424
15:45:06   15/06/2018 200000VND  200000VND   0         plus    00000000000015  CHIA SE CODE   350477
